,Model,Managment,Discount,Metric,Result
0,DT,Heavy,NoDR,F,-2.991131224592518
1,DT,Heavy,NoDR,G,0.28201483022766816
2,DT,Heavy,NoDR,times,0.28201483022766816
3,DT,Heavy,NoDR,salvage,-585.8827575903448
4,DT,Heavy,NoDR,no_salvage,-535.1827988194218
5,DT,Heavy,NoDR,optimal,-587.6852687418357
0,DT,Heavy,DR1,F,-2.96233810828566
1,DT,Heavy,DR1,G,0.2944710074167624
2,DT,Heavy,DR1,times,0.2944710074167624
3,DT,Heavy,DR1,salvage,-530.1280274045897
4,DT,Heavy,DR1,no_salvage,-489.86991423437064
5,DT,Heavy,DR1,optimal,-532.4343964894857
0,DT,Heavy,DR3,F,-1.387878569380839
1,DT,Heavy,DR3,G,0.6144430452637016
2,DT,Heavy,DR3,times,0.6144430452637016
3,DT,Heavy,DR3,salvage,-457.70601767794545
4,DT,Heavy,DR3,no_salvage,-432.9600235222756
5,DT,Heavy,DR3,optimal,-461.8794387785607
0,DT,Heavy,DR5,F,-1.102442556789981
1,DT,Heavy,DR5,G,0.7984234587438659
2,DT,Heavy,DR5,times,0.7984234587438659
3,DT,Heavy,DR5,salvage,-416.41664410842856
4,DT,Heavy,DR5,no_salvage,-402.3331080186413
5,DT,Heavy,DR5,optimal,-423.08217083823075
0,DT,NoMgmt,NoDR,F,-1.7629426798836714
1,DT,NoMgmt,NoDR,G,0.44645001867941303
2,DT,NoMgmt,NoDR,times,0.44645001867941303
3,DT,NoMgmt,NoDR,salvage,-664.8179595441277
4,DT,NoMgmt,NoDR,no_salvage,-607.1462189085192
5,DT,NoMgmt,NoDR,optimal,-666.9146166460447
0,DT,NoMgmt,DR1,F,-1.2414705522353444
1,DT,NoMgmt,DR1,G,0.6907562431912763
2,DT,NoMgmt,DR1,times,0.6907562431912763
3,DT,NoMgmt,DR1,salvage,-608.9481739476953
4,DT,NoMgmt,DR1,no_salvage,-573.4531423383135
5,DT,NoMgmt,DR1,optimal,-613.7974079508749
0,DT,NoMgmt,DR3,F,-0.5254815213844581
1,DT,NoMgmt,DR3,G,1.6635100122709146
2,DT,NoMgmt,DR3,times,1.6635100122709146
3,DT,NoMgmt,DR3,salvage,-535.8608458483186
4,DT,NoMgmt,DR3,no_salvage,-531.225650870734
5,DT,NoMgmt,DR3,optimal,-549.0783881173662
0,DT,NoMgmt,DR5,F,-0.20656250303958856
1,DT,NoMgmt,DR5,G,3.998037960595278
2,DT,NoMgmt,DR5,times,1.4469865051473954
3,DT,NoMgmt,DR5,salvage,-493.8077968487549
4,DT,NoMgmt,DR5,no_salvage,-508.45594061054237
5,DT,NoMgmt,DR5,optimal,-516.7645406991455
0,DT,Moderate,NoDR,F,-1.9645509694829633
1,DT,Moderate,NoDR,G,0.4001430559560018
2,DT,Moderate,NoDR,times,0.4001430559560018
3,DT,Moderate,NoDR,salvage,-606.3882232666531
4,DT,Moderate,NoDR,no_salvage,-566.751506391004
5,DT,Moderate,NoDR,optimal,-608.2589372839047
0,DT,Moderate,DR1,F,-1.349704865862592
1,DT,Moderate,DR1,G,0.6061457411249982
2,DT,Moderate,DR1,times,0.6061457411249982
3,DT,Moderate,DR1,salvage,-551.4128233151721
4,DT,Moderate,DR1,no_salvage,-524.0723602975364
5,DT,Moderate,DR1,optimal,-554.7454525030736
0,DT,Moderate,DR3,F,-0.8514026525506246
1,DT,Moderate,DR3,G,1.0141690587085146
2,DT,Moderate,DR3,times,1.0141690587085146
3,DT,Moderate,DR3,salvage,-480.0381840507605
4,DT,Moderate,DR3,no_salvage,-470.347149238606
5,DT,Moderate,DR3,optimal,-487.46615615128053
0,DT,Moderate,DR5,F,-0.4691472196537217
1,DT,Moderate,DR5,G,1.8104024734356716
2,DT,Moderate,DR5,times,1.5295105458274731
3,DT,Moderate,DR5,salvage,-439.4087109879773
4,DT,Moderate,DR5,no_salvage,-441.27318586410956
5,DT,Moderate,DR5,optimal,-451.42561000017224
0,DT,Light,NoDR,F,-1.8153946125774603
1,DT,Light,NoDR,G,0.4581841300099772
2,DT,Light,NoDR,times,0.4581841300099772
3,DT,Light,NoDR,salvage,-634.553441109148
4,DT,Light,NoDR,no_salvage,-592.9195724865214
5,DT,Light,NoDR,optimal,-637.277241800213
0,DT,Light,DR1,F,-0.9620353515088995
1,DT,Light,DR1,G,0.861460054469711
2,DT,Light,DR1,times,0.861460054469711
3,DT,Light,DR1,salvage,-578.373898171558
4,DT,Light,DR1,no_salvage,-551.7866394915543
5,DT,Light,DR1,optimal,-583.4044694982382
0,DT,Light,DR3,F,-0.5701777454309355
1,DT,Light,DR3,G,1.5127622557413103
2,DT,Light,DR3,times,1.5127622557413103
3,DT,Light,DR3,salvage,-505.1310255859632
4,DT,Light,DR3,no_salvage,-499.8630458413971
5,DT,Light,DR3,optimal,-516.1364043852362
0,DT,Light,DR5,F,-0.3052751092777599
1,DT,Light,DR5,G,2.7511379608334456
2,DT,Light,DR5,times,1.4038237731247014
3,DT,Light,DR5,salvage,-463.1733271662158
4,DT,Light,DR5,no_salvage,-471.58636087703985
5,DT,Light,DR5,optimal,-480.35225738069
0,DT,Comm-Ind,NoDR,F,-3.761320536085283
1,DT,Comm-Ind,NoDR,G,0.2214492314526365
2,DT,Comm-Ind,NoDR,times,0.2214492314526365
3,DT,Comm-Ind,NoDR,salvage,-584.5684058142494
4,DT,Comm-Ind,NoDR,no_salvage,-526.1737816455578
5,DT,Comm-Ind,NoDR,optimal,-585.8939850998174
0,DT,Comm-Ind,DR1,F,-3.4214521061606757
1,DT,Comm-Ind,DR1,G,0.24391544678690033
2,DT,Comm-Ind,DR1,times,0.24391544678690033
3,DT,Comm-Ind,DR1,salvage,-532.805053319103
4,DT,Comm-Ind,DR1,no_salvage,-484.0924245251097
5,DT,Comm-Ind,DR1,optimal,-534.279263678383
0,DT,Comm-Ind,DR3,F,-2.089176261559066
1,DT,Comm-Ind,DR3,G,0.40013571597018366
2,DT,Comm-Ind,DR3,times,0.40013571597018366
3,DT,Comm-Ind,DR3,salvage,-465.39167034676495
4,DT,Comm-Ind,DR3,no_salvage,-431.35423468745313
5,DT,Comm-Ind,DR3,optimal,-467.830838699558
0,DT,Comm-Ind,DR5,F,-1.470807515151415
1,DT,Comm-Ind,DR5,G,0.5805445974022945
2,DT,Comm-Ind,DR5,times,0.5805445974022945
3,DT,Comm-Ind,DR5,salvage,-426.73602148578624
4,DT,Comm-Ind,DR5,no_salvage,-403.0737022492998
5,DT,Comm-Ind,DR5,optimal,-430.7087994360534
0,DT,HighGrade,NoDR,F,-1.935126346448091
1,DT,HighGrade,NoDR,G,0.26364353197571294
2,DT,HighGrade,NoDR,times,0.26364353197571294
3,DT,HighGrade,NoDR,salvage,-641.807345216278
4,DT,HighGrade,NoDR,no_salvage,-583.9122529264706
5,DT,HighGrade,NoDR,optimal,-642.345594858925
0,DT,HighGrade,DR1,F,-1.513399729433332
1,DT,HighGrade,DR1,G,0.4439952142152917
2,DT,HighGrade,DR1,times,0.4439952142152917
3,DT,HighGrade,DR1,salvage,-586.8845263429835
4,DT,HighGrade,DR1,no_salvage,-544.412306842295
5,DT,HighGrade,DR1,optimal,-588.237931945218
0,DT,HighGrade,DR3,F,-0.8901092111340367
1,DT,HighGrade,DR3,G,0.9094026199669706
2,DT,HighGrade,DR3,times,0.9094026199669706
3,DT,HighGrade,DR3,salvage,-514.9367494740898
4,DT,HighGrade,DR3,no_salvage,-494.6500277803028
5,DT,HighGrade,DR3,optimal,-519.7097059488348
0,DT,HighGrade,DR5,F,-0.4540674399636361
1,DT,HighGrade,DR5,G,1.786944354645999
2,DT,HighGrade,DR5,times,1.786944354645999
3,DT,HighGrade,DR5,salvage,-473.3418221060553
4,DT,HighGrade,DR5,no_salvage,-467.6410931972025
5,DT,HighGrade,DR5,optimal,-482.8162674276839
0,LogReg,Heavy,NoDR,F,-0.5886793094013034
1,LogReg,Heavy,NoDR,G,0.874537994078516
2,LogReg,Heavy,NoDR,times,0.874537994078516
3,LogReg,Heavy,NoDR,salvage,-585.8827575903448
4,LogReg,Heavy,NoDR,no_salvage,-535.1827988194218
5,LogReg,Heavy,NoDR,optimal,-587.6852687418357
0,LogReg,Heavy,DR1,F,-0.7678365651004933
1,LogReg,Heavy,DR1,G,0.8323494180632367
2,LogReg,Heavy,DR1,times,0.8323494180632367
3,LogReg,Heavy,DR1,salvage,-530.1280274045897
